id,path,name,title,description,keywords
1,/,doyle,IT Resume - Платформа для развития навыков программирования,,hayesstrosin
2,/404,Страница,IT Resume - Платформа для развития навыков программирования,,veum
3,/account/creation,Регистрация,Регистрация | IT Resume,,mueller
4,/account/login,Логин,Вход | IT Resume,,kerluke
5,/account/password-reset,Сброс пароля,Сброс | IT Resume,,waelchi
6,/legal/cookie,Кукисы,Cookies | IT Resume,,denesik
7,/legal/offer,Оферта,Публичная оферта | IT Resume,,schuppe
8,/materials/webinar1,Вебинары,Вебинары | IT Resume,Вебинары,
9,/materials,Полезные материалы,Полезные материалы | IT Resume,"Готовитесь к собеседованию или хотите прокачать свои навыки? Потренируйтесь на наших тестах по программированию, базам данных и аналитике 😉",
10,/blog,Блог,Статьи по программированию и Data Science | Блог IT Resume,"Готовитесь к собеседованию или хотите прокачать свои навыки? Потренируйтесь на наших тестах по программированию, базам данных и аналитике 😉",
11,/problems,Задачи,"Задачи по Python, SQL, программированию и Data Science | IT Resume","Готовитесь к собеседованию или хотите прокачать свои навыки? Потренируйтесь на наших тестах по программированию, базам данных и аналитике 😉",
12,/problems/price-range,Диапазон цен,Классная задачка по SQL,,
13,/problems/two-sum-test,Двойная сумма,Классная задачка по Python,,
14,/problems/frequent-letters,Самые частые повторы,Классная задачка по Python 2,,
15,/python-guide,Гайд по языку Python,Самый классный гайд для классных ребят,,"задачки, задачечки"
16,/sql-guide,Гайд по языку sql,Самый классный гайд для классных ребят,,"задачки, задачечки"
17,/go-guide,Гайд по языку go,Самый классный гайд для классных ребят,,"задачки, задачечки"
18,/tests,Тесты,"Тесты по Python, SQL, программированию и Data Science | IT Resume",Тесты,Тесты
19,/tests/sql-guess-result,Что выведет SQL-запрос?,Тест: Что выведет SQL-запрос | IT Resume,"Готовитесь к собеседованию или хотите прокачать свои навыки? Потренируйтесь на наших тестах по программированию, базам данных и аналитике 😉",
20,/tests/general-sql,Общий тест по SQL,Тест: Общий тест по SQL | IT Resume,"Готовитесь к собеседованию или хотите прокачать свои навыки? Потренируйтесь на наших тестах по программированию, базам данных и аналитике 😉",
21,/tests/tricky-sql,Хитрый тест по SQL,Тест: Хитрый тест по SQL | IT Resume,"Готовитесь к собеседованию или хотите прокачать свои навыки? Потренируйтесь на наших тестах по программированию, базам данных и аналитике 😉",
