type,description,value,is_visible,reason,icon,button,tooltip,destination_id,allowed_for
1,Списание,,0,,icon,text on button,text,1,
2,Пополнение кошелька,,0,Баланс пополнен!,icon,text on button,text,1,users
3,Регистрация,100.0,1,Добро пожаловать!,key,Создать аккаунт,"Зарегистрируйтесь, и мы сразу начислим Вам приветственные 50 CodeCoins",3,guests
4,Заход на платформу,3.0,1,Ежедневный бонус!,entrance,Войти,"За каждый новый день, что Вы проведете с нами, мы начислим Вам 3 CodeCoins",4,guests
5,Недельный марафон,30.0,1,7 дней подряд - это сильно!,bottle,Войти,Решайте задачи и тесты 7 дней подряд и получите 30 CodeCoins!,4,guests
6,Пригласить друга,200.0,1,Ваш друг присоединился по Вашей ссылке!,friend,Получить ссылку,"Нажмите на кнопку и отправьте ссылку другу. После подтверждения Вы получите 200 CodeCoins, а друг - 100 :)",164,users
7,Приглашенный друг,50.0,0,Добро пожаловать!,icon,text on button,text,1,
8,5 задач,30.0,1,Начало положено!,5,Перейти к задачам,Решите 5 задач на нашей платформе и получите 30 CodeCoins!,11,
9,15 задач,100.0,1,15 задач - это уже серьезно!,15,Перейти к задачам,Решите 15 задач на нашей платформе и получите 100 CodeCoins!,11,
10,25 задач,200.0,1,25 задач - да Вы мастер!,25,Перейти к задачам,Решите 25 задач на нашей платформе и получите 200 CodeCoins!,11,
11,100 задач,1000.0,1,100 задач - Вам нет равных!,100,Перейти к задачам,Решите 100 задач на нашей платформе и получите 1000 CodeCoins!,11,
12,5 тестов,30.0,1,5 тестов - начало положено!,5,Перейти к тестам,Пройдите 5 тестов на нашей платформе и получите 30 CodeCoins!,18,
13,15 тестов,100.0,1,15 тестов - Вы явно настроены серьезно!,15,Перейти к тестам,Пройдите 15 тестов на нашей платформе и получите 100 CodeCoins!,18,
14,25 тестов,200.0,1,25 тестов - Вас не остановить!,25,Перейти к тестам,Пройдите 25 тестов на нашей платформе и получите 200 CodeCoins!,18,
15,50 тестов,500.0,1,50 тестов. Чистая победа!,50,Перейти к тестам,Пройдите 50 тестов на нашей платформе и получите 500 CodeCoins!,18,
16,Поделиться задачей,100.0,0,"Спасибо, что поделились задачкой!",icon,text on button,text,11,
17,Поделиться тестом,100.0,0,"Спасибо, что поделились тестом!",icon,text on button,text,18,
18,Поделиться своим резюме,250.0,0,Такого резюме точно ни у кого нет ;),icon,text on button,text,1,
19,Найти баг,100.0,1,"Спасибо, что делаете нас лучше!",bug,Сообщить о баге,"Сообщите нам о баге: заполните специальную форму, и мы начислим Вам 100 CodeCoins!",163,
20,Предложить задачу,200.0,1,Ваш вклад неоценим!,bulb-brain,Предложить задачу,Предложите нам классную задачу и мы с удовольствием начислим Вам 200 CodeCoins!,162,
21,Предложить тест,200.0,1,Ваш вклад неоценим!,bulb-brain,Предложить тест,Предложите нам интересный тест и мы с удовольствием начислим Вам 200 CodeCoins!,166,
22,Решить задачу,,0,Еще одна задача позади!,icon,text on button,text,11,
23,Купить задачу,,0,,icon,text on button,text,1,
24,Купить подсказку к задаче,,0,,icon,text on button,text,1,
25,Купить решение задачи,,0,,icon,text on button,text,1,
26,Купить юнит-тест,,0,,icon,text on button,text,1,
27,Купить тест,,0,,icon,text on button,text,1,
28,Купить ответ на вопрос теста,,0,,icon,text on button,text,1,
29,Регистрация от компании,0.0,0,,icon,text on button,text,1,
30,Покупка за рубли,,0,,icon,text on button,text,1,
