id,name,complexity,bonus,task,solution,cost,rating,page_id,solution_cost,priority,company_id,is_visible,is_private,recommendation
1,Сумма 2 чисел,1,5,"<p>Дан массив целых чисел <code>nums</code> и целое число <code>target</code>. Вернуть индексы 2 чисел из массива <code>nums</code>, которые в сумме дают число <code>target</code>. Если <code>target</code> можно получить несколькими способами, то в качестве результата вернуть только один.</p><p>Пример:</p><pre><strong>Дано:</strong> nums = [2,7,11,15], target = 9
<strong>Результат:</strong> [0,1]
</pre>","<inject-highlight>class Answer:
    def twoSum(self, nums, target):
        seen = {}
        for i, v in enumerate(nums):
            remaining = target - v
            if remaining in seen:
                return [seen[remaining], i]
            seen[v] = i
        return []
</inject-highlight>",20,91.0,36,0,890.0,,True,False,
2,Преобразование массива,1,5,"<p>Дан массив целых чисел <code>nums</code> размерности <code>2n</code>. Элементы массива расположены в следующем порядке: <code>[x1,x2,...,xn,y1,y2,...,yn]</code>. Необходимо преобразовать массив к виду <code>[x1,y1,x2,y2,...,xn,yn]</code>.</p><p>Пример:</p><pre><strong>Дано:</strong> nums = [2,5,1,3,4,7], n = 3
<strong>Результат:</strong> [2,3,5,4,1,7]
</pre>","<inject-highlight>class Answer:
    def shuffle(self, nums, n):
            res = []
            for i, j in zip(nums[:n],nums[n:]):
                res += [i,j]
            return res
</inject-highlight>",20,93.0,37,0,1.0,,True,False,
3,Задача о детях и конфетах,1,5,"<p>Дан массив целых чисел <code>candies</code>, на <code>i</code> месте в котором находится количество конфет у <code>i</code> ребенка. Также дано целое число <code>extraCandies</code>. Необходимо для каждого ребенка проверить: если дать ему <code>extraCandies</code>, будет ли у него больше всего конфет?</p><p>Примечание: Одновременно может быть несколько детей с одинаково большим количеством конфет.</p><p>Пример 1:</p><pre><strong>Дано:</strong> candies = [2,3,5,1,3], extraCandies = 3
<strong>Результат:</strong> [true,true,true,false,true]
</pre><p>Пример 2:</p><pre><strong>Дано:</strong> candies = [12,1,12], extraCandies = 10
<strong>Результат:</strong> [true,false,true]
</pre>","<inject-highlight>class Answer:
    def kidsWithCandies(self, candies, extraCandies):
      m = max(candies)
      return [candie + extraCandies >= m for candie in candies]
</inject-highlight>",0,97.0,38,0,890.0,,True,False,
4,Задача о «хороших парах»,1,5,"<p>Дан массив целых чисел nums. Необходимо посчитать количество «хороших пар». Пара <code>(i, j)</code> называется хорошей, если:</p><ol><li><code>nums[i] == nums[j]</code></li><li><code>i < j</code></li></ol><p>Пример 1:</p><inject-highlight>Дано: nums = [1,2,3,1,1,3]
Результат: 4
</inject-highlight><p>Пример 2:</p><inject-highlight>Дано: nums = [1,1,1,1]
Результат: 6
</inject-highlight><p>Пример 3:</p><inject-highlight>Дано: nums = [1,2,3]
Результат: 0
</inject-highlight>","<inject-highlight>from collections import Counter

class Answer:
    def numIdenticalPairs(self, A):
        return sum(k * (k - 1) / 2 for k in Counter(A).values())
</inject-highlight>",20,89.0,39,0,890.0,,True,False,
5,Числа с четным числом цифр,1,5,"<p>Дан массив целых чисел <code>nums</code>. Найти количество чисел, у которых четное число цифр в записи числа.</p><p>Пример:</p><pre><strong>Дано:</strong> nums = [12,345,2,6,7896]
<strong>Результат:</strong> 2
</pre>","<inject-highlight>class Answer:
    def findNumbers(self, nums):
        return len([x for x in nums if len(str(x)) % 2 == 0])
</inject-highlight>",20,92.0,40,0,1.0,,True,False,
6,Максимальное количество конфет,2,10,"<p>Дан массив <code>costs</code>, где на <code>i</code> месте стоит стоимость <code>i</code> конфеты. У мальчика есть <code>coins</code> монет, и он хочет купить как можно больше конфет. Какое максимальное число конфет мальчик может купить?</p><p>Пример 1:</p><pre><strong>Дано:</strong> costs = [1,3,2,4,1], coins = 7
<strong>Результат:</strong> 4
<strong>Объяснение:</strong> Мальчик может купить конфеты с индексами 0,1,2,4, потратив на них 1 + 3 + 2 + 1 = 7.
</pre><p>Пример 2:</p><pre><strong>Дано:</strong> costs = [10,6,8,7,7,8], coins = 5
<strong>Результат:</strong> 0
<strong>Объяснение:</strong> Самая дешевая конфета стоит больше 5 монет, поэтому мальчик не сможет купить конфеты.
</pre>","<inject-highlight>class Answer:
      def maxCandies(self, costs, coins):
        costs.sort() 
        count = 0  
        for i in costs:
            if(coins-i>=0):  
                coins -= i
                count +=1
        return count
</inject-highlight>",30,93.0,46,0,1.0,,True,False,
7,Сумма непересекающихся подмассивов,2,10,"<p>Дан массив неотрицательных целых чисел <code>A</code>. Найти максимальную сумму двух непересекающихся подмассивов длины <code>L</code> и <code>M</code>, соответственно.</p><p>Пример 1:</p><pre><strong>Вход:</strong> A = [0,6,5,2,2,5,1,9,4], L = 1, M = 2
<strong>Результат:</strong> 20
<strong>Объяснение:</strong> Для получения максимальной суммы, мы выбираем [9] в качестве подмассива длины L (1), а [5, 6] в качестве подмассива длины M (2).
</pre><p>Пример 2:</p><pre><strong>Вход:</strong> A = [2,1,5,6,0,9,5,0,3,8], L = 4, M = 3
<strong>Результат:</strong> 31
<strong>Объяснение:</strong> Для получения макисмальной суммы, мы выбираем [5,6,0,9] в качестве подмассива длины 4 и [0,3,8] в качестве подмассива длины 3.
</pre>","<inject-highlight>class Solution:
    def maxSumTwoNoOverlap(self, A: List[int], L: int, M: int) -> int:
        prefix = [0]
        maxl = maxm = summ = 0
        for x in A:
            prefix.append(prefix[-1] + x)

        for x in range(M, len(prefix) - L):
            maxm = max(maxm, prefix[x] - prefix[x - M])
            summ = max(summ, maxm + prefix[x + L] - prefix[x])

        for x in range(L, len(prefix) - M):
            maxl = max(maxl, prefix[x] - prefix[x - L])
            summ = max(summ, maxl + prefix[x + M] - prefix[x])

        return summ
</inject-highlight>",30,91.0,47,0,1.0,,True,False,
8,Нахождение дубликата,2,10,"<p>Дан массив <code>nums</code>, в котором содержится <code>n+1</code> чисел в промежутке <code>[1, n]</code>. В массиве <code>nums</code> есть только одно число, которое повторяется несколько раз. Выведите это число.</p><p>Пример:</p><pre><strong>Дано:</strong> nums = [1,2,4,3,2]
<strong>Результат:</strong> 2
</pre>","<inject-highlight>class Answer:
    def findDuplicate(self, nums):
        seen = set()
        for num in nums:
            if num in seen:
                return num
            seen.add(num)
</inject-highlight>",30,95.0,48,0,1.0,,True,False,
9,Неубывающий массив,2,10,"<p>Дан массив целых чисел <code>nums</code>. Нужно проверить: можно ли сделать из <code>nums</code> неубывающий массив, изменив не более одного элемента.</p><p>Примечание: Неубывающий массив - массив, у которого каждый следующий элемент больше или равен предыдущему.</p><p>Пример 1:</p><pre><strong>Дано:</strong> nums = [4,2,3]
<strong>Результат:</strong> true
<strong>Объяснение:</strong> Мы можем заменить 4 на 1 и получить неубывающий массив.
</pre><p>Пример 2:</p><pre><strong>Дано:</strong> nums = [4,2,1]
<strong>Результат:</strong> false
<strong>Объяснение:</strong> Мы не можем получить неубывающий массив с помощью замены всего 1 элемента.
</pre>","<inject-highlight>class Answer:
    def checkPossibility(self, nums):
        num_violations = 0
        for i in range(1, len(nums)):
            if nums[i - 1] > nums[i]:
                if num_violations == 1:
                    return False
                num_violations += 1
                if i < 2 or nums[i - 2] <= nums[i]:
                    nums[i - 1] = nums[i]
                else:
                    nums[i] = nums[i - 1]
        return True
</inject-highlight>
",30,98.0,49,0,1001.0,,True,False,
10,Строго возрастающий массив,1,5,"<p>Дан массив целых чисел <code>nums</code>. За один шаг можно увеличить только один элемент массива <code>nums</code> на единицу. Какое минимальное количество шагов необходимо сделать, чтобы массив <code>nums</code> стал строго возрастающим?</p><p>Примечание: массив называется строго возрастающим, если <code>nums[i] > nums[i-1]</code> для <code>1 <= i <= n</code>.</p><p>Пример 1:</p><pre><strong>Дано:</strong> nums = [1,1,1]
<strong>Результат:</strong> 3

<strong>Объяснение:</strong>

1) Увеличиваем nums[2] на 1, получаем [1,1,2].
2) Увеличиваем nums[1] на 1, получаем [1,2,2].
3) Увеличиваем nums[2] на 1, получаем [1,2,3].
</pre><p>Пример 2:</p><pre><strong>Дано:</strong> nums = [1,5,2,4,1]
<strong>Результат:</strong> 14
</pre><p>Пример 3:</p><pre><strong>Дано:</strong> nums = [8]
<strong>Результат:</strong> 0
</pre>","<inject-highlight>class Answer:
    def minOperations(self, nums):
        count = 0
        prev = nums[0]
        for i in range(1, len(nums)):
            if nums[i] <= prev:
                count += (prev + 1 - nums[i])
                prev += 1
            else:
                prev = nums[i]
        return count
</inject-highlight>",0,89.0,50,0,1.0,,True,False,
